flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
1,6,35913,41644,0,0,1
1,6,35913,41644,0,0,1
1,6,17932,53334,0,0,1
1,6,17932,53334,0,0,1
1,6,43084,10764,0,0,1
1,6,43084,10764,0,0,1
0,6,24811,41780,0,0,1
0,6,24811,41780,0,0,1
0,6,18106,35491,0,0,1
0,6,18106,35491,0,0,1
0,6,6191,55806,0,0,1
0,6,6191,55806,0,0,1
0,6,7924,41828,0,0,1
0,6,7924,41828,0,0,1
0,6,43831,2963,0,0,1
0,6,43831,2963,0,0,1
0,6,5906,65530,0,0,1
0,6,5906,65530,0,0,1
0,6,7533,30031,0,0,1
0,6,7533,30031,0,0,1
3,6,52306,10271,0,0,1
3,6,52306,10271,0,0,1
3,6,60406,19587,0,0,1
3,6,60406,19587,0,0,1
2,6,49979,49758,0,0,1
2,6,49979,49758,0,0,1
2,6,11115,14769,0,0,1
2,6,11115,14769,0,0,1
2,6,36855,3358,0,0,1
2,6,36855,3358,0,0,1
2,6,41300,63690,0,0,1
2,6,41300,63690,0,0,1
2,6,25574,30574,0,0,1
2,6,25574,30574,0,0,1
2,6,18949,51474,0,0,1
2,6,18949,51474,0,0,1
1,6,28544,48487,0,0,1
1,6,28544,48487,0,0,1
1,6,38346,14835,0,0,1
1,6,38346,14835,0,0,1
1,6,2033,23670,0,0,1
1,6,2033,23670,0,0,1
1,6,41691,59115,0,0,1
1,6,41691,59115,0,0,1
1,6,35913,41644,0,0,1
1,6,35913,41644,0,0,1
1,6,17932,53334,0,0,1
1,6,17932,53334,0,0,1
1,6,43084,10764,0,0,1
1,6,43084,10764,0,0,1
0,6,24811,41780,0,0,1
0,6,24811,41780,0,0,1
0,6,18106,35491,0,0,1
0,6,18106,35491,0,0,1
0,6,6191,55806,0,0,1
0,6,6191,55806,0,0,1
0,6,7924,41828,0,0,1
0,6,7924,41828,0,0,1
0,6,43831,2963,0,0,1
0,6,43831,2963,0,0,1
0,6,5906,65530,0,0,1
0,6,5906,65530,0,0,1
0,6,7533,30031,0,0,1
0,6,7533,30031,0,0,1
3,6,52306,10271,0,0,1
3,6,52306,10271,0,0,1
3,6,60406,19587,0,0,1
3,6,60406,19587,0,0,1
2,6,49979,49758,0,0,1
2,6,49979,49758,0,0,1
2,6,11115,14769,0,0,1
2,6,11115,14769,0,0,1
2,6,36855,3358,0,0,1
2,6,36855,3358,0,0,1
2,6,41300,63690,0,0,1
2,6,41300,63690,0,0,1
2,6,25574,30574,0,0,1
2,6,25574,30574,0,0,1
2,6,18949,51474,0,0,1
2,6,18949,51474,0,0,1
1,6,28544,48487,0,0,1
1,6,28544,48487,0,0,1
1,6,38346,14835,0,0,1
1,6,38346,14835,0,0,1
1,6,2033,23670,0,0,1
